Manufacturer,Model,price,Wheelbase,Width,Length,Height,body
Subaru       ,Outback,18700,103.5,67.5,185.8,62.9,crossover
Subaru       ,Outback,19900,103.5,67.5,185.8,62.9,crossover
Subaru       ,Outback,44500,103.5,67.5,185.8,62.9,crossover
Subaru       ,Outback,0,103.5,67.5,185.8,62.9,crossover
Subaru       ,Outback,8899,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,9499,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,10000,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,10500,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,10700,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,10999,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,11200,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,16799,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,17000,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,19900,103.5,67.5,185.8,62.9,vagon
Subaru       ,Outback,43900,103.5,67.5,185.8,62.9,vagon
Toyota       ,4Runner,42000,105.3,66.5,183.3,68.5,crossover
Toyota       ,Tacoma,39900,103.3,66.5,178.7,66.3,crossover
Toyota       ,Corolla,1750,97,66.7,174,57.5,hatch
Toyota       ,Corolla,2350,97,66.7,174,57.5,hatch
Toyota       ,Corolla,3100,97,66.7,174,57.5,hatch
Toyota       ,Corolla,3650,97,66.7,174,57.5,hatch
Toyota       ,Corolla,3700,97,66.7,174,57.5,hatch
Toyota       ,Corolla,4500,97,66.7,174,57.5,hatch
Toyota       ,Corolla,8000,97,66.7,174,57.5,hatch
Toyota       ,Corolla,8300,97,66.7,174,57.5,hatch
Toyota       ,Avalon,12999,107.1,71.7,191.9,56.7,sedan
Toyota       ,Avalon,15400,107.1,71.7,191.9,56.7,sedan
Toyota       ,Camry,2200,105.2,70.1,188.5,56,vagon
Volkswagen   ,Beetle,3500,98.9,67.9,161.1,59.1,hatch
Volkswagen   ,Beetle,8500,98.9,67.9,161.1,59.1,hatch
